District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Conservatory Lab Charter (District),4390000,MATH,42,18,4,2,38,16,106,44,92,38,240,98,476.9,20.4,132
Conway,680000,MATH,32,46,7,10,25,36,35,51,2,3,69,96,497.8,19.9,34
Danvers,710000,MATH,554,38,51,3,503,34,696,47,220,15,"1,470",93,492.9,29,919
Dartmouth,720000,MATH,636,41,57,4,579,37,722,47,190,12,"1,548",96,494.9,35.9,984
Dedham,730000,MATH,438,38,62,5,376,33,546,47,166,14,"1,150",97,494.5,35.2,745
Deerfield,740000,MATH,49,28,6,3,43,24,94,53,35,20,178,95,488.6,28.6,81
Dennis-Yarmouth,6450000,MATH,373,29,36,3,337,26,628,48,296,23,"1,297",97,487.6,30.1,761
Dighton-Rehoboth,6500000,MATH,333,29,24,2,309,27,630,54,202,17,"1,165",92,489.6,23.5,738
Douglas,770000,MATH,136,27,3,1,133,26,273,54,100,20,509,92,486.7,28.6,303
Dover,780000,MATH,197,78,55,22,142,56,49,19,6,2,252,99,514.3,52.1,77
Dover-Sherborn,6550000,MATH,346,74,93,20,253,54,107,23,15,3,468,91,513.4,39.9,427
Dracut,790000,MATH,505,28,44,2,461,25,950,52,358,20,"1,813",99,487.9,29.4,"1,134"
Dudley Street Neighborhood Charter School (District),4070000,MATH,10,9,0,0,10,9,51,48,45,42,106,98,473.1,17.7,30
Dudley-Charlton Reg,6580000,MATH,504,31,22,1,482,29,919,56,227,14,"1,650",99,490.1,24.1,"1,087"
Duxbury,820000,MATH,661,53,70,6,591,47,542,43,54,4,"1,257",97,501.7,32,810
East Bridgewater,830000,MATH,315,33,31,3,284,30,506,53,136,14,957,98,491.5,27.8,621
East Longmeadow,870000,MATH,379,35,44,4,335,31,531,49,167,16,"1,077",94,492.4,33,685
Eastham,850000,MATH,34,40,3,4,31,36,41,48,10,12,85,90,495.5,30.6,22
Easthampton,860000,MATH,149,24,9,1,140,23,332,54,135,22,616,93,485.7,30.7,393
Easton,880000,MATH,765,48,89,6,676,43,679,43,145,9,"1,589",96,498.9,34.5,"1,058"
Edgartown,890000,MATH,58,24,4,2,54,22,134,54,54,22,246,99,484.9,28.8,130
Erving,910000,MATH,4,14,1,3,3,10,16,55,9,31,29,54,483.4,,16
Everett,930000,MATH,376,14,27,1,349,13,"1,318",48,"1,054",38,"2,748",88,477,23.6,"1,424"
Excel Academy Charter (District),4100000,MATH,125,18,9,1,116,17,362,53,195,29,682,96,482.7,22.7,625
Fairhaven,940000,MATH,301,42,34,5,267,37,325,45,89,12,715,84,495.4,33.5,450
Fall River,950000,MATH,804,17,57,1,747,16,"2,164",45,"1,807",38,"4,775",94,478.4,26,"2,627"
Falmouth,960000,MATH,604,41,85,6,519,36,632,43,220,15,"1,456",98,494.7,39.9,910
Farmington River Reg,6620000,MATH,12,27,2,4,10,22,26,58,7,16,45,96,491.4,,16
Fitchburg,970000,MATH,334,14,24,1,310,13,"1,081",45,968,41,"2,383",97,476.8,25.5,"1,378"
Florida,980000,MATH,5,9,0,0,5,9,31,55,20,36,56,97,476.4,23.7,40
Four Rivers Charter Public (District),4130000,MATH,10,20,0,0,10,20,30,61,9,18,49,65,484.5,23.2,38
Foxborough,990000,MATH,499,45,59,5,440,40,497,45,111,10,"1,107",98,497.5,30.3,711
Foxborough Regional Charter (District),4460000,MATH,220,25,22,3,198,23,464,53,190,22,874,99,485.5,31.2,562
Framingham,1000000,MATH,892,23,84,2,808,21,"1,638",42,"1,329",34,"3,859",96,481.5,34.1,"2,124"
Francis W. Parker Charter Essential (District),4780000,MATH,51,37,4,3,47,34,77,56,10,7,138,97,495.1,27.8,89
Franklin,1010000,MATH,"1,012",48,154,7,858,40,893,42,217,10,"2,122",98,498.9,30.5,"1,345"
Freetown-Lakeville,6650000,MATH,552,44,61,5,491,40,556,45,135,11,"1,243",94,496.8,34.5,777
Frontier,6700000,MATH,93,40,15,7,78,34,112,49,25,11,230,95,496.5,38.8,216
Gardner,1030000,MATH,148,15,6,1,142,14,489,49,356,36,993,94,477.3,26.3,635
Gateway,6720000,MATH,83,22,11,3,72,19,212,57,80,21,375,99,486.5,30.3,243
Georgetown,1050000,MATH,195,34,19,3,176,31,293,51,82,14,570,98,491.3,27.2,368
Gill-Montague,6740000,MATH,54,15,3,1,51,14,178,49,133,36,365,82,477.6,33.4,210
Global Learning Charter Public (District),4960000,MATH,35,11,0,0,35,11,209,64,84,26,328,92,480.3,15.8,305
Gloucester,1070000,MATH,389,31,41,3,348,28,570,46,285,23,"1,244",99,489.1,28.8,771
Grafton,1100000,MATH,684,47,103,7,581,40,589,41,173,12,"1,446",95,498.1,36.4,947
Granby,1110000,MATH,47,16,1,0,46,15,178,60,73,24,298,99,482.5,21.4,189
Greater Commonwealth Virtual District,39010000,MATH,88,20,8,2,80,18,243,55,108,25,439,91,484.5,34.6,221
Greenfield,1140000,MATH,62,12,6,1,56,10,251,47,224,42,537,71,475,23,291
Groton-Dunstable,6730000,MATH,572,57,93,9,479,48,359,36,70,7,"1,001",95,503.7,35.2,625
Hadley,1170000,MATH,85,39,8,4,77,35,92,42,40,18,217,98,492,35.9,149
Halifax,1180000,MATH,155,45,17,5,138,40,157,45,35,10,347,96,495.8,32.1,153
Hamilton-Wenham,6750000,MATH,391,53,43,6,348,47,300,40,50,7,741,97,500.8,39.1,459
Hampden Charter School of Science East (District),4990000,MATH,76,31,8,3,68,28,119,49,49,20,244,95,488.4,24.9,220
Hampden Charter School of Science West (District),35160000,MATH,59,30,13,7,46,24,99,51,37,19,195,100,490.4,25.3,163
Hampden-Wilbraham,6800000,MATH,463,38,28,2,435,36,597,50,145,12,"1,205",97,494,33.3,766
Hampshire,6830000,MATH,65,30,3,1,62,28,116,53,38,17,219,87,489.4,29.4,203
Hancock,1210000,MATH,8,30,1,4,7,26,9,33,10,37,27,100,483.1,,9
Hanover,1220000,MATH,619,52,89,7,530,44,478,40,100,8,"1,197",99,500.1,40.7,770
Harvard,1250000,MATH,291,63,50,11,241,52,131,28,38,8,460,96,504.7,40,297
Hatfield,1270000,MATH,49,26,2,1,47,25,96,52,40,22,185,95,485.7,25.7,115
Haverhill,1280000,MATH,685,18,53,1,632,17,"1,755",47,"1,326",35,"3,766",94,479.6,27,"2,241"
Hawlemont,6850000,MATH,5,7,0,0,5,7,30,44,33,49,68,99,472.9,10.1,31
Helen Y. Davis Leadership Academy Charter Public (District),4190000,MATH,26,15,1,1,25,14,93,53,56,32,175,94,479.3,27,146
Hill View Montessori Charter Public (District),4550000,MATH,15,8,1,1,14,7,95,49,84,43,194,96,473.4,22.1,124
Hilltown Cooperative Charter Public (District),4500000,MATH,63,45,10,7,53,38,65,46,12,9,140,89,497.9,35.9,94
Hingham,1310000,MATH,"1,118",61,193,11,925,51,619,34,81,4,"1,818",98,506,34.7,"1,139"
Holbrook,1330000,MATH,152,25,4,1,148,24,311,51,142,23,605,98,485,21.6,348
Holland,1350000,MATH,44,35,2,2,42,34,55,44,25,20,124,100,488.5,52.5,54
Holliston,1360000,MATH,678,51,101,8,577,43,523,39,133,10,"1,334",98,500.5,47.8,856
Holyoke,1370000,MATH,88,4,1,0,87,4,759,36,"1,266",60,"2,113",95,466.3,27.9,"1,213"
Holyoke Community Charter (District),4530000,MATH,44,9,1,0,43,9,252,53,176,37,472,100,475.9,27.1,296
Hoosac Valley Regional,6030000,MATH,63,12,7,1,56,11,273,52,187,36,523,99,477.3,23.6,345
Hopedale,1380000,MATH,209,44,26,5,183,39,217,46,47,10,473,94,496.8,32,299
Hopkinton,1390000,MATH,"1,223",68,368,21,855,48,459,26,106,6,"1,788",98,510.9,47.5,"1,118"
Hudson,1410000,MATH,295,25,18,2,277,24,606,52,269,23,"1,170",98,485.9,23.8,696
Hull,1420000,MATH,130,39,18,5,112,34,152,46,49,15,331,93,493.7,31.4,210
Innovation Academy Charter (District),4350000,MATH,149,39,13,3,136,35,185,48,53,14,387,96,494,29.4,347
Ipswich,1440000,MATH,271,36,28,4,243,33,385,52,89,12,745,99,494.4,27.7,467
KIPP Academy Boston Charter School (District),4630000,MATH,36,10,2,1,34,10,172,49,144,41,352,86,475,20,214
KIPP Academy Lynn Charter (District),4290000,MATH,101,24,6,1,95,23,216,51,104,25,421,56,484.3,18.8,213
King Philip,6900000,MATH,277,38,26,4,251,34,395,54,63,9,735,98,495.2,26.6,699
Kingston,1450000,MATH,208,34,12,2,196,32,311,51,86,14,605,99,491.5,28.5,298
Lawrence,1490000,MATH,624,10,31,0,593,9,"2,745",43,"2,995",47,"6,364",98,472.4,23.9,"3,581"
Lawrence Family Development Charter (District),4540000,MATH,88,19,7,1,81,17,286,61,93,20,467,99,484.5,26.1,303
Learning First Charter Public School (District),4860000,MATH,48,11,1,0,47,11,191,45,188,44,427,96,474.8,36,276
Lee,1500000,MATH,77,27,4,1,73,25,150,52,63,22,290,99,486.7,30.9,171
Leicester,1510000,MATH,152,24,14,2,138,22,333,53,141,23,626,97,486.4,36.5,392
Lenox,1520000,MATH,138,43,17,5,121,38,147,46,34,11,319,97,496.3,24.6,200
Leominster,1530000,MATH,584,22,44,2,540,20,"1,325",50,766,29,"2,675",98,483.5,21.5,"1,613"
Leverett,1540000,MATH,23,37,2,3,21,33,32,51,8,13,63,91,492.6,39.5,28
Lexington,1550000,MATH,"2,363",72,822,25,"1,541",47,734,22,195,6,"3,292",97,513.4,44.4,"1,994"
Libertas Academy Charter School (District),35140000,MATH,38,15,2,1,36,14,124,50,88,35,250,98,478.2,32.4,201
Lincoln,1570000,MATH,296,49,57,9,239,39,242,40,71,12,609,98,499,41,277
Littleton,1580000,MATH,328,45,63,9,265,37,312,43,85,12,725,94,497.5,39.4,449
Longmeadow,1590000,MATH,573,46,85,7,488,40,552,45,110,9,"1,235",97,498.4,28.4,774
Lowell,1600000,MATH,"1,134",18,100,2,"1,034",17,"2,854",47,"2,148",35,"6,136",88,480.1,24.8,"3,693"
Lowell Community Charter Public (District),4560000,MATH,153,32,8,2,145,30,229,48,96,20,478,100,489.3,24.9,306
Ludlow,1610000,MATH,251,25,21,2,230,23,564,56,194,19,"1,009",95,487,28.8,672
Lunenburg,1620000,MATH,267,37,22,3,245,34,366,50,95,13,728,100,492.9,33.3,478
Lynn,1630000,MATH,854,13,41,1,813,12,"3,101",45,"2,864",42,"6,819",96,475.5,19.8,"3,899"
Lynnfield,1640000,MATH,604,58,100,10,504,49,384,37,49,5,"1,037",99,504.6,30.3,650
Malden,1650000,MATH,684,24,77,3,607,22,"1,282",46,839,30,"2,805",98,483.6,30.4,"1,658"
Manchester Essex Regional,6980000,MATH,296,52,42,7,254,44,226,40,49,9,571,97,500,32.6,374
Mansfield,1670000,MATH,801,51,116,7,685,44,604,39,158,10,"1,563",99,499.9,38.8,"1,012"
Marblehead,1680000,MATH,687,56,90,7,597,49,439,36,104,8,"1,230",99,501.9,46.6,780
Marblehead Community Charter Public (District),4640000,MATH,72,34,10,5,62,30,115,55,23,11,210,100,494.2,33.4,129
Marion,1690000,MATH,101,44,12,5,89,39,101,44,29,13,231,100,496.4,38.5,116
Marlborough,1700000,MATH,488,21,39,2,449,20,"1,115",49,669,29,"2,272",99,482.1,28.3,"1,293"
Marshfield,1710000,MATH,832,50,78,5,754,45,684,41,145,9,"1,661",95,499,29.6,"1,052"
Martha's Vineyard Charter (District),4660000,MATH,21,26,2,3,19,24,50,63,9,11,80,83,488.9,26.7,53
Martin Luther King Jr. Charter School of Excellence (District),4920000,MATH,16,9,2,1,14,8,78,45,81,46,175,99,471.1,9.9,58
Masconomet,7050000,MATH,280,48,39,7,241,42,256,44,42,7,578,98,499.7,31,550
Mashpee,1720000,MATH,195,29,26,4,169,25,334,50,134,20,663,95,488.4,24.3,425
Match Charter Public School (District),4690000,MATH,56,10,1,0,55,10,289,54,194,36,539,95,476.2,21.2,332
Mattapoisett,1730000,MATH,127,56,16,7,111,49,89,40,9,4,225,100,501.3,48.9,107
Maynard,1740000,MATH,151,28,13,2,138,26,281,52,108,20,540,96,487.9,32.5,321
Medfield,1750000,MATH,660,59,102,9,558,50,408,36,56,5,"1,124",97,503.7,33,713
Medford,1760000,MATH,409,26,47,3,362,23,758,49,382,25,"1,549",87,486.2,32.6,899
Medway,1770000,MATH,488,51,76,8,412,43,396,41,72,8,956,97,500.4,31.4,635
Melrose,1780000,MATH,867,52,159,10,708,42,620,37,186,11,"1,673",96,499.8,32.1,995
Mendon-Upton,7100000,MATH,319,31,18,2,301,29,547,54,155,15,"1,021",99,490.4,23.1,669
Methuen,1810000,MATH,735,23,87,3,648,21,"1,513",48,906,29,"3,154",98,483.7,28.1,"1,928"
Middleborough,1820000,MATH,479,37,41,3,438,33,642,49,191,15,"1,312",92,492.9,32.4,829
Middleton,1840000,MATH,177,53,30,9,147,44,125,37,34,10,336,99,500.7,41.7,157
