District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Quincy,2430000,ELA,"1,957",47,375,9,"1,582",38,"1,557",38,612,15,"4,126",99,498.3,31.7,"2,385"
Ralph C Mahar,7550000,ELA,69,28,2,1,67,27,113,46,65,26,247,96,486.4,38.5,225
Randolph,2440000,ELA,432,33,56,4,376,29,599,46,271,21,"1,302",97,490.5,37.7,731
Reading,2460000,ELA,"1,119",64,241,14,878,50,517,30,103,6,"1,739",98,506.9,41.9,"1,138"
Revere,2480000,ELA,"1,177",35,135,4,"1,042",31,"1,504",44,716,21,"3,397",99,490.2,29.7,"2,034"
Richmond,2490000,ELA,54,61,7,8,47,53,29,33,5,6,88,91,502,42.6,56
Rising Tide Charter Public (District),4830000,ELA,203,59,32,9,171,49,112,32,32,9,347,97,502.6,41.5,300
River Valley Charter (District),4820000,ELA,120,63,18,10,102,54,57,30,12,6,189,99,504.7,48.8,112
Rochester,2500000,ELA,164,56,25,9,139,47,106,36,23,8,293,100,501.4,40.3,143
Rockland,2510000,ELA,489,45,75,7,414,38,424,39,182,17,"1,095",99,495.6,36.5,677
Rockport,2520000,ELA,179,48,16,4,163,44,160,43,31,8,370,97,498.7,37,238
Rowe,2530000,ELA,18,51,0,0,18,51,11,31,6,17,35,88,492.1,,13
Roxbury Preparatory Charter (District),4840000,ELA,226,25,24,3,202,22,421,46,275,30,922,98,483.6,30.9,770
Salem,2580000,ELA,547,34,60,4,487,31,697,44,350,22,"1,594",88,489.6,32.2,876
Salem Academy Charter (District),4850000,ELA,104,48,14,7,90,42,80,37,31,14,215,100,497.4,39,206
Sandwich,2610000,ELA,571,50,98,9,473,41,452,40,121,11,"1,144",98,499.6,40,719
Saugus,2620000,ELA,527,43,68,6,459,38,528,43,166,14,"1,221",99,495.3,32.2,726
Savoy,2630000,ELA,9,31,1,3,8,28,17,59,3,10,29,100,491.6,,13
Scituate,2640000,ELA,789,64,160,13,629,51,372,30,66,5,"1,227",98,507.3,35.8,790
Seekonk,2650000,ELA,586,61,102,11,484,50,299,31,75,8,960,99,504.4,44.1,572
Sharon,2660000,ELA,"1,119",70,257,16,862,54,417,26,67,4,"1,603",97,510.1,38.8,"1,022"
Sherborn,2690000,ELA,133,69,26,14,107,56,52,27,7,4,192,98,508.8,42.4,59
Shrewsbury,2710000,ELA,"1,861",65,415,15,"1,446",51,786,28,196,7,"2,843",99,507.7,35.5,"1,763"
Shutesbury,2720000,ELA,38,62,6,10,32,52,14,23,9,15,61,95,501.9,39.8,33
Silver Lake,7600000,ELA,222,44,15,3,207,41,210,41,75,15,507,98,494.3,32.7,486
Sizer School: A North Central Charter Essential (District),4740000,ELA,45,33,8,6,37,27,62,46,28,21,135,94,490.7,33.9,106
Somerset,2730000,ELA,558,50,61,5,497,44,448,40,112,10,"1,118",97,498.6,36.3,710
Somerville,2740000,ELA,781,41,165,9,616,33,722,38,387,20,"1,890",94,493.6,33.9,"1,116"
South Hadley,2780000,ELA,319,42,35,5,284,38,293,39,141,19,753,91,493.4,32.3,432
South Shore Charter Public (District),4880000,ELA,231,49,28,6,203,43,195,41,46,10,472,97,498.5,39.1,295
Southampton,2750000,ELA,126,53,9,4,117,49,87,36,26,11,239,99,499,46.9,104
Southborough,2760000,ELA,559,73,167,22,392,51,178,23,26,3,763,99,513.5,37.7,473
Southbridge,2770000,ELA,145,17,6,1,139,16,378,44,343,40,866,98,477,28.1,465
Southern Berkshire,7650000,ELA,98,39,9,4,89,36,115,46,36,14,249,94,492.9,34.8,149
Southwick-Tolland-Granville Regional School District,7660000,ELA,278,44,39,6,239,38,280,45,70,11,628,94,496.6,40.9,419
Spencer-E Brookfield,7670000,ELA,240,35,22,3,218,32,319,46,132,19,691,99,490.4,38.1,411
Springfield,2810000,ELA,"2,245",24,241,3,"2,004",21,"4,154",44,"3,045",32,"9,444",92,482.9,23.5,"5,188"
Springfield International Charter (District),4410000,ELA,223,30,19,3,204,27,363,49,159,21,745,89,488.6,29.5,457
Springfield Preparatory Charter School (District),35100000,ELA,97,46,13,6,84,39,90,42,26,12,213,100,496.7,30.3,102
Stoneham,2840000,ELA,580,55,113,11,467,44,355,34,116,11,"1,051",99,501.7,34.8,653
Stoughton,2850000,ELA,638,41,70,5,568,37,697,45,207,13,"1,542",98,495.3,32.5,967
Sturbridge,2870000,ELA,290,63,51,11,239,52,143,31,26,6,459,98,506,45.7,211
Sudbury,2880000,ELA,"1,251",73,330,19,921,54,397,23,72,4,"1,720",98,512.5,47.4,"1,107"
Sunderland,2890000,ELA,48,51,12,13,36,38,32,34,14,15,94,91,499.3,39.1,34
Sutton,2900000,ELA,290,54,32,6,258,48,201,38,43,8,534,89,500,37.7,357
Swampscott,2910000,ELA,498,57,84,10,414,48,296,34,76,9,870,92,502.9,37.9,563
Swansea,2920000,ELA,491,52,68,7,423,45,373,39,84,9,948,94,500.2,35.5,590
TEC Connections Academy Commonwealth Virtual School District,39020000,ELA,387,45,48,6,339,40,323,38,143,17,853,86,495.8,32,505
Tantasqua,7700000,ELA,279,50,36,6,243,44,224,40,52,9,555,96,500.2,39.5,527
Taunton,2930000,ELA,"1,257",34,162,4,"1,095",30,"1,649",45,791,21,"3,697",97,489.7,31.8,"2,297"
Tewksbury,2950000,ELA,836,56,149,10,687,46,528,35,136,9,"1,500",99,502.3,43.6,929
Tisbury,2960000,ELA,96,55,18,10,78,45,62,36,15,9,173,97,502.4,37.9,92
Topsfield,2980000,ELA,201,59,31,9,170,50,115,34,22,7,338,99,503.3,36.1,161
Triton,7730000,ELA,480,47,71,7,409,40,424,42,109,11,"1,013",98,498,37.6,640
Truro,3000000,ELA,33,67,2,4,31,63,16,33,0,0,49,98,504.7,,17
Tyngsborough,3010000,ELA,374,49,40,5,334,44,323,42,70,9,767,99,498.8,33.6,475
UP Academy Charter School of Boston (District),4800000,ELA,51,16,2,1,49,15,132,40,143,44,326,93,476.5,29.1,296
UP Academy Charter School of Dorchester (District),35050000,ELA,54,13,3,1,51,12,205,49,160,38,419,98,476.4,21.9,263
Up-Island Regional,7740000,ELA,137,52,18,7,119,45,103,39,25,9,265,99,499.7,31.1,161
Uxbridge,3040000,ELA,361,49,41,6,320,44,294,40,78,11,733,97,497.3,40.8,466
Veritas Preparatory Charter School (District),4980000,ELA,122,31,18,5,104,26,170,43,107,27,399,99,487.6,26.7,355
Wachusett,7750000,ELA,"1,760",57,271,9,"1,489",48,"1,115",36,228,7,"3,103",97,503,35.8,"2,010"
Wakefield,3050000,ELA,818,53,103,7,715,46,574,37,151,10,"1,543",97,500,36.3,974
Wales,3060000,ELA,37,58,2,3,35,55,25,39,2,3,64,96,502.3,36.9,35
Walpole,3070000,ELA,"1,019",62,170,10,849,52,483,30,135,8,"1,637",99,504.7,35.7,"1,034"
Waltham,3080000,ELA,"1,008",42,195,8,813,34,978,41,427,18,"2,413",98,494.6,41.8,"1,356"
Ware,3090000,ELA,186,34,8,1,178,33,250,46,109,20,545,98,490.2,35.9,361
Wareham,3100000,ELA,310,31,25,3,285,29,471,48,210,21,991,98,489.9,33.3,609
Watertown,3140000,ELA,502,46,92,8,410,37,441,40,152,14,"1,095",97,497.2,40.3,643
Wayland,3150000,ELA,910,73,207,17,703,57,293,24,36,3,"1,239",96,511.3,43.9,744
Webster,3160000,ELA,216,27,17,2,199,24,399,49,199,24,814,95,485.6,30,467
Wellesley,3170000,ELA,"1,535",75,450,22,"1,085",53,429,21,86,4,"2,050",98,514.1,43.8,"1,265"
Wellfleet,3180000,ELA,23,49,4,9,19,40,17,36,7,15,47,96,503.7,,10
West Boylston,3220000,ELA,228,58,42,11,186,47,132,34,32,8,392,96,503.9,40.8,246
West Bridgewater,3230000,ELA,291,51,37,6,254,44,226,39,59,10,576,93,499.3,36.3,375
West Springfield,3320000,ELA,710,41,100,6,610,35,740,43,279,16,"1,729",97,494.3,37.2,"1,046"
Westborough,3210000,ELA,"1,252",72,346,20,906,52,387,22,93,5,"1,732",97,511.8,53,"1,026"
Westfield,3250000,ELA,839,42,114,6,725,37,801,40,341,17,"1,981",92,493.8,35.3,"1,252"
Westford,3260000,ELA,"1,565",73,362,17,"1,203",56,497,23,93,4,"2,155",98,510.9,47.5,"1,405"
Westhampton,3270000,ELA,41,63,9,14,32,49,23,35,1,2,65,97,507.3,47.6,36
Weston,3300000,ELA,648,76,214,25,434,51,178,21,23,3,849,98,515.2,44.8,542
Westport,3310000,ELA,302,45,25,4,277,41,278,41,90,13,670,96,495.5,32.9,429
Westwood,3350000,ELA,991,75,330,25,661,50,271,21,54,4,"1,316",99,514.6,43.7,852
Weymouth,3360000,ELA,"1,049",42,146,6,903,37,"1,012",41,408,17,"2,469",99,494.5,30.5,"1,537"
Whately,3370000,ELA,33,63,13,25,20,38,16,31,3,6,52,98,508.1,51.1,25
Whitman-Hanson,7800000,ELA,803,49,131,8,672,41,667,40,179,11,"1,649",96,498.9,36,"1,077"
Williamsburg,3400000,ELA,45,70,11,17,34,53,15,23,4,6,64,89,510.9,52.6,34
Wilmington,3420000,ELA,755,56,87,6,668,50,477,35,114,8,"1,346",93,501.4,35.2,870
Winchendon,3430000,ELA,182,33,16,3,166,30,282,51,92,17,556,96,491,40,319
Winchester,3440000,ELA,"1,478",73,318,16,"1,160",57,481,24,72,4,"2,031",95,510.8,36.7,"1,256"
Winthrop,3460000,ELA,379,46,43,5,336,40,352,42,99,12,830,98,496.3,31.5,531
Woburn,3470000,ELA,888,46,125,7,763,40,782,41,249,13,"1,919",97,497.3,36.2,"1,179"
Worcester,3480000,ELA,"2,743",28,393,4,"2,350",24,"4,182",43,"2,785",29,"9,710",92,485.8,30.2,"5,507"
Worthington,3490000,ELA,21,60,0,0,21,60,8,23,6,17,35,100,495.5,,13
Wrentham,3500000,ELA,317,61,59,11,258,50,162,31,38,7,517,100,505,35.5,239
State,0,ELA,"182,190",46,"31,541",8,"150,649",38,"149,728",38,"63,826",16,"395,744",95,496.5,35.8,"245,966"
