District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Douglas,770000,ELA,249,50,47,9,202,41,205,41,43,9,497,90,500,29.1,291
Dover,780000,ELA,189,75,50,20,139,55,56,22,6,2,251,99,512.7,47.8,77
Dover-Sherborn,6550000,ELA,358,76,85,18,273,58,98,21,16,3,472,92,512.5,41.5,432
Dracut,790000,ELA,803,44,116,6,687,38,747,41,262,14,"1,812",100,496,32.2,"1,135"
Dudley Street Neighborhood Charter School (District),4070000,ELA,31,30,2,2,29,28,55,52,19,18,105,97,488.4,33.6,30
Dudley-Charlton Reg,6580000,ELA,838,51,106,6,732,44,636,38,178,11,"1,652",99,499,37.1,"1,089"
Duxbury,820000,ELA,822,65,125,10,697,56,374,30,59,5,"1,255",97,506.6,36.8,807
East Bridgewater,830000,ELA,465,48,68,7,397,41,404,42,90,9,959,98,498.8,37.1,622
East Longmeadow,870000,ELA,563,52,106,10,457,42,422,39,102,9,"1,087",95,501.4,42.9,694
Eastham,850000,ELA,54,64,9,11,45,53,28,33,3,4,85,90,505.7,57,22
Easthampton,860000,ELA,276,45,41,7,235,38,268,43,73,12,617,93,496.5,38.6,395
Easton,880000,ELA,922,58,160,10,762,48,551,35,119,7,"1,592",96,503.7,38,"1,061"
Edgartown,890000,ELA,103,42,8,3,95,39,99,40,44,18,246,99,493.8,35.1,130
Erving,910000,ELA,8,27,0,0,8,27,19,63,3,10,30,56,488.5,,18
Everett,930000,ELA,658,24,50,2,608,22,"1,243",44,896,32,"2,797",89,482.4,26.3,"1,461"
Excel Academy Charter (District),4100000,ELA,248,36,24,3,224,33,310,45,130,19,688,96,490.8,31.5,630
Fairhaven,940000,ELA,359,51,63,9,296,42,274,39,75,11,708,83,499.8,33.5,448
Fall River,950000,ELA,"1,307",27,139,3,"1,168",24,"2,036",42,"1,450",30,"4,793",95,484.6,30.2,"2,643"
Falmouth,960000,ELA,797,55,173,12,624,43,491,34,161,11,"1,449",98,502.4,43.2,909
Farmington River Reg,6620000,ELA,23,51,3,7,20,44,18,40,4,9,45,96,501.3,,16
Fitchburg,970000,ELA,676,29,93,4,583,25,"1,013",43,679,29,"2,368",96,486.2,30.1,"1,372"
Florida,980000,ELA,15,27,0,0,15,27,29,52,12,21,56,97,486.1,29.6,40
Four Rivers Charter Public (District),4130000,ELA,23,45,1,2,22,43,24,47,4,8,51,68,496.2,33.8,40
Foxborough,990000,ELA,606,55,104,9,502,45,386,35,115,10,"1,107",98,501.2,41,711
Foxborough Regional Charter (District),4460000,ELA,379,43,47,5,332,38,382,44,113,13,874,99,495.3,34,560
Framingham,1000000,ELA,"1,324",34,229,6,"1,095",28,"1,510",39,"1,022",27,"3,856",96,489,38.8,"2,125"
Francis W. Parker Charter Essential (District),4780000,ELA,80,58,9,7,71,51,47,34,11,8,138,97,502.6,36.4,90
Franklin,1010000,ELA,"1,276",60,216,10,"1,060",50,689,32,160,8,"2,125",98,504.4,34.8,"1,353"
Freetown-Lakeville,6650000,ELA,617,50,97,8,520,42,490,40,133,11,"1,240",94,499,35.5,774
Frontier,6700000,ELA,117,50,21,9,96,41,89,38,27,12,233,96,500,36.7,218
Gardner,1030000,ELA,276,28,19,2,257,26,457,46,256,26,989,94,485.3,34.7,633
Gateway,6720000,ELA,145,39,15,4,130,35,176,47,54,14,375,99,493.5,33.7,244
